id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Symphony in D Minor,Harmonic Strings,classical,dreamy,0.32,85,0.68,0.94,0.94
12,Raging Storm,Thunder Peak,metal,dark,0.95,160,0.35,0.71,0.08
13,Crossroads Sorrow,Blue Note Wanderer,blues,melancholic,0.51,95,0.52,0.48,0.81
14,Mountain Morning,Folk Remedy,folk,upbeat,0.68,108,0.79,0.69,0.87
15,Electric Dawn,Synth Wave Collective,electronic,energetic,0.88,142,0.75,0.85,0.12
16,Dusty Roads,Country Hearts,country,nostalgic,0.55,102,0.61,0.62,0.79
17,One Love Vibration,Island Vibes,reggae,relaxed,0.58,98,0.70,0.72,0.68
18,Void Echo,Shadowed Paths,dark ambient,dark,0.29,65,0.41,0.35,0.88
